Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MARCH-2026,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,3090,0,0,32,0,0,30,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,DJV01,NHS ENGLAND SOUTH EAST ,HERNE BAY HEALTH CARE LTD,0,0,2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2366,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1696,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,1400,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2545,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2883,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
MSitAE-MARCH-2026,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,3154,0,0,0,0,0,22,0,0,0,0,0,0,0,1,141
MSitAE-MARCH-2026,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,19931,0,2009,1007,0,144,4411,0,8,139,0,0,906,131,2314,0,0,795
MSitAE-MARCH-2026,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,16023,0,0,0,0,0,1957,0,0,0,0,0,808,34,3004,0,0,227
MSitAE-MARCH-2026,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,3798,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5451,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9452,0,0,9,0,0,1843,0,0,0,0,0,283,0,3372,0,0,552
MSitAE-MARCH-2026,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,4189,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,2158,0,0,33,0,0,38,0,0,1,0,0,0,0,0,0
MSitAE-MARCH-2026,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,7132,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3817,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1610,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2708,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1665,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7717,0,1655,0,0,0,2678,0,0,0,0,0,479,427,1586,0,0,530
MSitAE-MARCH-2026,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11459,0,0,0,0,0,1708,0,0,0,0,0,200,22,1966,0,0,390
MSitAE-MARCH-2026,RYJ,NHS ENGLAND LONDON,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,12422,3904,6883,0,0,586,4438,39,258,0,0,0,580,0,3732,0,0,1236
MSitAE-MARCH-2026,NVE43,NHS ENGLAND SOUTH EAST ,HASTINGS GP LED HEALTH CENTRE,0,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5284,0,1591,224,0,28,1454,0,6,51,0,0,288,10,1147,0,0,310
MSitAE-MARCH-2026,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4720,0,535,219,0,20,102,0,1,4,0,0,8,0,1204,0,0,93
MSitAE-MARCH-2026,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10703,0,7039,0,0,0,4286,0,258,0,0,0,137,69,2105,0,0,267
MSitAE-MARCH-2026,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,5461,0,0,274,0,0,121,0,0,3,0,0,0,0,0,0
MSitAE-MARCH-2026,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9453,1075,3238,0,0,0,2348,0,1,0,0,0,643,85,2609,0,18,1380
MSitAE-MARCH-2026,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,5375,0,6912,0,0,0,2277,0,82,0,0,0,393,14,1810,0,0,72
MSitAE-MARCH-2026,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1372,0,0,0,0,0,18,0,0,0,0,0,0,0,2,529
MSitAE-MARCH-2026,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,14145,0,0,0,0,0,495,0,0,0,0,0,0,0,0,35
MSitAE-MARCH-2026,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7724,0,0,1320,0,0,491,0,0,29,0,0,0,0,0,0
MSitAE-MARCH-2026,ACH01,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,5137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2026,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
