Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-DECEMBER-2025,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,27713,0,7575,2,0,1,10824,0,190,0,0,0,2261,869,8686,0,96,1130
MSitAE-DECEMBER-2025,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849
MSitAE-DECEMBER-2025,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5262,0,1353,304,0,17,1825,0,0,66,0,0,159,6,1226,0,0,293
MSitAE-DECEMBER-2025,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7749,0,5682,810,0,368,3066,0,162,350,0,0,604,0,2229,0,0,485
MSitAE-DECEMBER-2025,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,11399,0,13004,0,0,0,5265,0,849,0,0,0,810,433,5057,0,0,333
MSitAE-DECEMBER-2025,RDR,NHS ENGLAND SOUTH EAST ,SUSSEX COMMUNITY NHS FOUNDATION TRUST,0,0,11047,0,0,0,0,0,215,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,RET,NHS ENGLAND NORTH WEST ,THE WALTON CENTRE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177
MSitAE-DECEMBER-2025,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13846,2271,14734,0,0,0,6745,527,174,0,0,0,722,840,3554,0,0,1658
MSitAE-DECEMBER-2025,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9266,0,0,20,0,0,2831,0,0,0,0,0,601,11,3239,0,0,546
MSitAE-DECEMBER-2025,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,15671,0,4510,334,0,420,5968,0,105,78,0,9,572,865,3999,0,40,1419
MSitAE-DECEMBER-2025,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,7850,0,815,72,0,0,2566,0,0,0,0,0,481,341,2021,0,0,254
MSitAE-DECEMBER-2025,RH5,NHS ENGLAND SOUTH WEST ,SOMERSET NHS FOUNDATION TRUST,11873,0,8920,0,0,0,5902,0,187,0,0,0,502,132,3077,0,0,1670
MSitAE-DECEMBER-2025,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,11758,1133,0,0,0,0,4459,36,0,0,0,0,568,11,4123,7,0,1640
MSitAE-DECEMBER-2025,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9074,1108,7050,332,0,1116,4702,1,419,143,0,44,1214,5,3382,0,0,3666
MSitAE-DECEMBER-2025,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,10779,956,2825,2009,0,896,4119,4,10,647,0,0,773,1033,3304,0,0,2429
MSitAE-DECEMBER-2025,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,10530,0,5527,437,0,165,4775,0,531,186,0,3,860,642,3691,0,0,328
MSitAE-DECEMBER-2025,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
MSitAE-DECEMBER-2025,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12638,0,8115,0,0,0,3957,0,3,0,0,0,706,257,2444,0,0,1459
MSitAE-DECEMBER-2025,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,11729,0,3731,0,0,0,2881,0,79,0,0,0,586,342,3726,0,0,311
MSitAE-DECEMBER-2025,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,9815,0,4324,0,0,654,4068,0,218,0,0,0,2856,155,3672,0,0,2472
MSitAE-DECEMBER-2025,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4458,283,2150,206,0,0,1661,0,0,66,0,0,417,101,1486,0,0,980
MSitAE-DECEMBER-2025,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,13497,0,3778,0,0,0,5338,0,0,0,0,0,1246,235,3719,0,422,1122
MSitAE-DECEMBER-2025,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",8080,0,4363,0,0,0,4062,0,71,0,0,0,548,453,2298,0,0,408
MSitAE-DECEMBER-2025,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,12604,1576,6407,0,0,1379,5205,46,28,0,0,0,569,65,3846,17,0,2735
MSitAE-DECEMBER-2025,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,10826,0,12639,0,0,0,3036,0,0,0,0,0,89,0,4184,0,8,508
MSitAE-DECEMBER-2025,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7785,0,2532,0,0,0,3911,0,12,0,0,0,596,359,3057,0,0,481
MSitAE-DECEMBER-2025,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,8832,0,7444,0,0,811,2577,0,194,0,0,0,669,27,4458,0,0,704
MSitAE-DECEMBER-2025,RWW,NHS ENGLAND NORTH WEST ,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,6918,0,2815,275,0,98,3672,0,27,76,0,3,814,772,2053,0,0,157
MSitAE-DECEMBER-2025,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,9441,0,1859,2059,0,1634,4009,0,49,0,0,0,275,70,3301,0,0,515
MSitAE-DECEMBER-2025,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8841,0,9969,367,0,435,4200,0,124,119,0,0,498,466,2827,0,0,1136
MSitAE-DECEMBER-2025,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,12861,0,4059,0,0,7877,5583,0,0,0,0,0,1981,30,4461,0,0,876
MSitAE-DECEMBER-2025,RY2,NHS ENGLAND NORTH WEST ,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,3088,0,0,183,0,0,130,0,0,1,0,0,0,0,0,0
MSitAE-DECEMBER-2025,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,25706,773,18261,0,0,0,12110,18,1857,0,0,0,1150,1088,4455,1,46,1283
MSitAE-DECEMBER-2025,RA7,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,16151,2167,0,0,0,0,5956,169,0,0,0,0,1219,496,5082,11,0,1620
MSitAE-DECEMBER-2025,RAX,NHS ENGLAND LONDON,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,7217,0,8083,0,0,0,3964,0,345,0,0,0,255,498,2436,0,289,640
MSitAE-DECEMBER-2025,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,9857,0,0,0,0,0,3359,0,0,0,0,0,808,22,1867,0,0,547
MSitAE-DECEMBER-2025,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10979,0,4843,260,0,281,4799,0,103,53,0,10,527,420,2953,0,37,449
MSitAE-DECEMBER-2025,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,10381,0,6502,0,0,0,3407,0,135,0,0,0,129,60,2044,0,0,278
MSitAE-DECEMBER-2025,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,11581,0,1927,0,0,0,3817,0,123,0,0,0,722,821,2405,0,0,118
MSitAE-DECEMBER-2025,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10230,0,4228,0,0,0,5408,0,356,0,0,0,953,635,3928,0,0,2264
MSitAE-DECEMBER-2025,RWX,NHS ENGLAND SOUTH EAST ,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,0,0,1244,0,0,0,0,0,13,0,0,0,0,0,0,0,32,0
MSitAE-DECEMBER-2025,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,8610,0,3237,33,0,8,4428,0,296,11,0,0,512,440,2695,0,82,957
MSitAE-DECEMBER-2025,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5169,0,0,0,0,0,1484,0,0,0,0,0,52,3,735,0,0,196
MSitAE-DECEMBER-2025,RTH,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,12246,1677,3448,1709,0,186,4126,0,86,370,0,33,743,14,5129,107,9,4348
MSitAE-DECEMBER-2025,RYX,NHS ENGLAND LONDON,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,0,0,11883,0,0,580,0,0,143,0,0,5,0,0,0,0,0,0
MSitAE-DECEMBER-2025,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,1857,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2025,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4536,0,0,510,0,3910,1868,0,0,141,0,10,220,63,1967,0,0,502
MSitAE-DECEMBER-2025,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6384,0,6075,1018,0,454,3165,0,41,513,0,0,637,385,2089,0,31,151
MSitAE-DECEMBER-2025,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,26198,0,10203,0,0,0,10888,0,345,0,0,0,1121,1085,7873,0,435,2249
MSitAE-DECEMBER-2025,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,12275,0,3250,177,0,143,4443,0,92,33,0,3,1006,446,3091,0,121,1259
MSitAE-DECEMBER-2025,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,13918,0,15544,0,0,0,7172,0,866,0,0,0,649,673,6203,0,0,287
MSitAE-DECEMBER-2025,RBL,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7893,0,3086,0,0,155,4414,0,209,0,0,12,480,897,2204,0,0,1853
MSitAE-DECEMBER-2025,RBN,NHS ENGLAND NORTH WEST ,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,17740,0,7162,246,0,0,7414,0,127,65,0,0,570,497,7162,0,0,647
MSitAE-DECEMBER-2025,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10436,0,0,0,0,0,4737,0,0,0,0,0,573,727,2962,0,0,889
MSitAE-DECEMBER-2025,RMP,NHS ENGLAND NORTH WEST ,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,8135,0,3345,425,0,78,4160,0,162,0,0,0,361,732,1706,0,0,263
MSitAE-DECEMBER-2025,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,20794,0,9520,1174,0,25,10071,0,128,280,0,0,1284,770,4263,0,1,1985
TOTAL,TOTAL,TOTAL,TOTAL,1407641,47040,785243,30566,482,55167,572315,2015,25269,8378,25,473,86988,50789,399039,1312,5020,136817
