Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JANUARY-2026,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,3507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,589,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,AQM01,NHS ENGLAND SOUTH EAST ,FAVERSHAM MEDICAL PRACTICE MIU,0,0,3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2236,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3624,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1283,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2419,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1571,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,2840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6524,0,3034,381,0,234,3120,0,3,142,0,0,202,106,2135,0,0,1283
MSitAE-JANUARY-2026,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
MSitAE-JANUARY-2026,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,91
MSitAE-JANUARY-2026,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,13731,0,5143,0,0,0,6952,0,56,0,0,0,865,1431,3226,0,0,885
MSitAE-JANUARY-2026,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6814,0,0,1748,0,0,212,0,0,27,0,0,0,0,0,0
MSitAE-JANUARY-2026,RYF,NHS ENGLAND SOUTH WEST ,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1859,0,0,41,0,0,27,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE WALK IN CENTRE,0,0,2871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,5146,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2350,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2724,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NVE43,NHS ENGLAND SOUTH EAST ,HASTINGS GP LED HEALTH CENTRE,0,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,2888,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MSitAE-JANUARY-2026,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,10704,0,8591,0,0,0,4181,0,8,0,0,0,614,647,1924,0,0,436
MSitAE-JANUARY-2026,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,879,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,27280,1465,1692,1667,0,420,11503,23,221,499,0,3,952,1196,8697,22,59,1915
MSitAE-JANUARY-2026,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JANUARY-2026,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,7859,0,0,332,0,0,116,0,0,49,0,0,0,0,0,0
MSitAE-JANUARY-2026,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6966,0,2875,0,0,88,3491,0,4,0,0,0,417,590,2659,0,0,856
MSitAE-JANUARY-2026,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6576,0,1742,0,0,0,2997,0,0,0,0,0,585,229,1924,0,0,424
MSitAE-JANUARY-2026,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7247,0,1792,0,0,0,2533,0,0,0,0,0,577,417,1674,0,0,463
MSitAE-JANUARY-2026,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,1167,0,0,0,0,0,4,0,0,0,0,0,0,0,8,462
MSitAE-JANUARY-2026,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8998,0,2423,0,0,567,2254,0,0,0,0,0,511,322,2013,0,1,305
