Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-OCTOBER-2025,RAN,NHS ENGLAND LONDON,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
MSitAE-OCTOBER-2025,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
MSitAE-OCTOBER-2025,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,6138,1143,127,107,0,0,2478,0,0,28,0,0,417,272,1495,0,0,172
MSitAE-OCTOBER-2025,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6140,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2858,0,0,18,0,0,12,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2427,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2622,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,3152,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,7318,0,2950,0,0,125,4048,0,4,0,0,0,471,510,2108,0,0,814
MSitAE-OCTOBER-2025,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,80
MSitAE-OCTOBER-2025,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,2826,0,0,0,0,0,27,0,0,0,0,0,0,0,3,121
MSitAE-OCTOBER-2025,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,16644,0,0,0,0,0,2858,0,0,0,0,0,975,7,3066,0,0,189
MSitAE-OCTOBER-2025,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3696,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,NNF16,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRIDLINGTON HOSPITAL,0,0,1455,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2680,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1707,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,NVE43,NHS ENGLAND SOUTH EAST ,HASTINGS GP LED HEALTH CENTRE,0,0,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY NHS FOUNDATION TRUST,6976,0,1879,786,0,14,2548,0,0,226,0,0,508,12,2281,0,0,1202
MSitAE-OCTOBER-2025,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6886,0,3271,375,0,149,3222,0,22,172,0,1,185,35,2442,0,0,1243
MSitAE-OCTOBER-2025,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10542,0,0,0,0,0,4261,0,0,0,0,0,587,757,3067,0,0,974
MSitAE-OCTOBER-2025,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,2161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0,0,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11600,1299,5852,860,0,1310,5505,17,233,424,0,49,865,2,4405,27,0,1667
MSitAE-OCTOBER-2025,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6305,255,0,528,0,0,2412,0,0,0,0,0,517,139,1673,0,0,585
MSitAE-OCTOBER-2025,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9681,0,0,65,0,0,3103,0,0,0,0,0,422,0,3451,0,0,580
MSitAE-OCTOBER-2025,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,4218,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4983,0,11225,0,0,0,2889,0,28,0,0,0,286,47,1705,0,513,2638
MSitAE-OCTOBER-2025,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,14603,0,11378,0,0,0,4992,0,618,0,0,0,271,1380,4391,0,97,1943
MSitAE-OCTOBER-2025,RY5,NHS ENGLAND MIDLANDS ,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,0,0,8124,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7561,0,0,1513,0,0,288,0,0,31,0,0,0,0,0,0
MSitAE-OCTOBER-2025,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,1891,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,5321,0,1063,327,0,25,1651,0,2,88,0,0,135,6,1199,0,0,326
MSitAE-OCTOBER-2025,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11547,0,0,0,0,0,2351,0,0,0,0,0,269,20,1956,0,0,360
MSitAE-OCTOBER-2025,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,1118,0,0,44,0,0,3,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2025,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
