Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-NOVEMBER-2025,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2802,0,0,19,0,0,13,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,RW1,NHS ENGLAND SOUTH EAST ,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,0,0,2719,0,0,0,0,0,33,0,0,0,0,0,0,0,0,121
MSitAE-NOVEMBER-2025,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6044,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,2144,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,2312,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,2487,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172
MSitAE-NOVEMBER-2025,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,69
MSitAE-NOVEMBER-2025,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,16724,0,0,0,0,0,3083,0,0,0,0,0,1074,20,3022,0,0,164
MSitAE-NOVEMBER-2025,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,4290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,DJV01,NHS ENGLAND SOUTH EAST ,HERNE BAY HEALTH CARE LTD,0,0,2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1681,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,NVE43,NHS ENGLAND SOUTH EAST ,HASTINGS GP LED HEALTH CENTRE,0,0,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5805,0,2238,0,0,0,2829,0,352,0,0,0,418,613,1878,0,0,1236
MSitAE-NOVEMBER-2025,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3576,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2025,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10560,0,0,0,0,0,4468,0,0,0,0,0,528,702,2975,0,0,901
MSitAE-NOVEMBER-2025,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
